Age,Employment rate
25, 0.677
26, 0.655
27, 0.669
28, 0.663
29, 0.662
30, 0.609
31, 0.597
32, 0.573
33, 0.596
34, 0.556
35, 0.577
36, 0.545
37, 0.535
38, 0.548
39, 0.522
